Employee Id,First Name,Last Name,Preferred First Name,Email,Secondary Email,Phone Number,Username,Password,Hire Date,Birth Date,Role,Country Code,Supervisor Id,Group Name,Language,#isalive,#isreal,#israndomlygenerated,#Job Word?,#zodiac
nono,"""Cosmic","Travis""",,taylor.plewe+nono@awardco.com,,,jj,,7/5/23,27-Jan,Employee,SE,,,sv,TRUE,FALSE,FALSE,FALSE,AQUARIUS
steeve,"""Majestic","Steve""",,taylor.plewe+steeve@awardco.com,,,steevestown,,7/5/23,14-Jan,Employee,TH,,,th,TRUE,FALSE,FALSE,FALSE,AQUARIUS
a96633541,Aaron,Haynes,,taylor.plewe+aaronhaynes@awardco.com,,,aaron_haynes,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,AQUARIUS
a26747266,Adam,Duvall,,taylor.plewe+duvallblast@awardco.com,,,father-of-stone,,8/21/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,AQUARIUS
grossssssen,Adam,Grossen,,taylor.plewe+bmwman@awardco.com,,,bmwman,,7/6/22,6-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,AQUARIUS
a71981663,Alan,Kitchen,,taylor.plewe+elderkitchen@awardco.com,,,elder-kitchen,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,AQUARIUS
a41910421,Aleah,Glenn,,taylor.plewe+aleahglenn@awardco.com,,,aleah_glenn,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,AQUARIUS
augwiya4,Alex,Verdugo,,taylor.plewe+verdugo@awardco.com,,,verd00g,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,AQUARIUS
a65190260,Alexa,Hoover,,taylor.plewe+alexahoover@awardco.com,,,alexa_hoover,,7/1/22,31-Aug,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,AQUARIUS
a92429606,Alexandra,Haynes,,taylor.plewe+alexandrahaynes@awardco.com,,,alexandra_haynes,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,AQUARIUS
a55380470,Alexandra,Pugh,,taylor.plewe+alexeikaramazov@awardco.com,,,alexandra_pugh,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,AQUARIUS
wtwta,Alexei,Karamazov,,taylor.plewe+alexei@awardco.com,,,alexei,,7/1/22,1-Jul,Employee,RU,,,ru,TRUE,TRUE,FALSE,FALSE,AQUARIUS
a4496139,Ali,Valdez,,taylor.plewe+alivaldez@awardco.com,,,ali_valdez,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,AQUARIUS
a60271457,Alia,Cline,,allacline,,,alla_cline,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,AQUARIUS
a1119190,Angelo,Buck,,taylor.plewe+angeloblack@awardco.com,,,angelo_buck,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,AQUARIUS
a35673366,Anthony,Gonzalez,,taylor.plewe+m83@awardco.com,,,m83,,7/1/22,1-Jul,Employee,FR,,,fr,TRUE,TRUE,FALSE,FALSE,AQUARIUS
iojlkdjd,Antonio,Vivaldi,,taylor.plewe+antoniavivaldi@awardco.com,,,four-seasons,,7/1/22,1-Jul,Employee,IT,,,it,TRUE,TRUE,FALSE,FALSE,AQUARIUS
uu45r3uq,Apsley,Cherry-Garrard,,taylor.plewe+apsley@awardco.com,,,apsley,,7/1/22,1-Jul,Employee,GB,,,en,TRUE,TRUE,FALSE,FALSE,AQUARIUS
a21623519,Ariel,Cross,,taylor.plewe+arielcros@awardco.com,,,ariel_cross,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,AQUARIUS
a12651598,Ariya,Pacheco,,taylor.plewe+ariyapacheco@awardco.com,,,ariya_pacheco,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,AQUARIUS
13451242s432,Arnold,Layne,,taylor.plewe+arnoldlayne@awardco.com,,,arnold-layne,,7/1/22,1-Jul,Employee,GB,,,en,TRUE,FALSE,FALSE,FALSE,AQUARIUS
CccCCcccCCC,Ars,van Michaelson,,taylor.plewe+ars@awardco.com,,,van-boy,,7/1/22,1-Jul,Employee,NL,,,nl,TRUE,FALSE,FALSE,FALSE,AQUARIUS
7089w07,Art,Garfunkel,,taylor.plewe+garfunkel@awardco.com,,,garfunkel,,7/1/22,1-Jul,Employee,US,a75777079,,en,TRUE,TRUE,FALSE,FALSE,AQUARIUS
arthor_,Arthur,Morgan,,,,,,,10/17/23,,Employee,US,a75777079,,en,,,,FALSE,AQUARIUS
oihohbhhbiwojw,Aubrey,Graham,,taylor.plewe+aubreydrakeily@awardco.com,,,drake-ily,,7/1/22,1-Jul,Employee,CA,,,en,TRUE,TRUE,FALSE,FALSE,AQUARIUS
a92382918,Aurelia,Pennington,,taylor.plewe+aureliapennington@awardco.com,,,aurelia_pennington,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,AQUARIUS
a85118624,Avery,Bowman,,taylor.plewe+averybowman@awardco.com,,,avery_bowman,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,AQUARIUS
a65650318,Azariah,Barr,,taylor.plewe+azariahbarr@awardco.com,,,azariah_barr,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,AQUARIUS
213q3r,Bailey,Zimmerman,,taylor.plewe+bailey@awardco.com,,,bailey-zimmerman,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,AQUARIUS
urmanbarry,Barry,Michaelson,,afoiwj@afjoaifj.com,,,barry_michaelson,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,FALSE,FALSE,AQUARIUS
fjwijoej,Barry Three,Michaelson,,taylor.plewe+barry3@awardco.com,,,barry3,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,FALSE,FALSE,AQUARIUS
5846846,Barry Two,Michaelson,,taylor.plewe+barry2@awardco.com,,,barry2,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,FALSE,FALSE,AQUARIUS
bebestevens2309r23,Bebe,Stevens,,taylor.plewe+bebestevens@awardco.com,,,south______parkbebe,,7/11/22,11-Jul,Employee,US,,,en,TRUE,FALSE,FALSE,FALSE,CANCER
isk_action,Bjarn,Mikkaelsson,,wodk@woosox.is,fw@sfa.sefs,,bjarn,,7/1/22,1-Jul,Admin,IS,,,is,TRUE,FALSE,FALSE,FALSE,CANCER
aflijsjk4,Bjarne,Stroustrup,,taylor.plewe+bjarne@awardco.com,,,papa-cpp,,7/1/22,1-Jul,Employee,DK,,,,TRUE,TRUE,FALSE,FALSE,CANCER
fji4jij238jdk,Bobbie,Gentry,,taylor.plewe+gentry@awardco.com,,,build-me-a-courtyard,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,CANCER
a13262132,Bobby,Day,,taylor.plewe+bobbyday@awardco.com,,,bobby_day,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,CANCER
51065p16051,Bobby,Womack,,taylor.plewe+womack@awardco.com,,,calif,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,CANCER
94li4j2,Bon,Iver,,taylor.plewe+boniver@awardco.com,,,boniver,,7/1/22,1-Jul,Employee,US,a75777079,,en,TRUE,FALSE,FALSE,FALSE,CANCER
